CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
18205;1203088;1105493;1280414;67
18209;1203096;1105479;1280403;67
17728;1202901;1105448;1280322;67
18855;1203371;1105534;1280388;67
18856;1203380;1105530;1280379;67
18857;1203398;1105520;1280404;67
18858;1203401;1105521;1280385;67
18859;1203410;1105522;1280381;67
18860;1203444;1105559;1280314;67
18861;1227777;1105283;1280406;67
18862;1227785;1105314;1280388;67
18863;1227793;1105357;1280357;67
18864;1227807;1105395;1280339;67
19436;1203886;1105642;1280230;67
19442;1203908;1105656;1280209;67
19443;1203878;1105672;1280215;67
19444;1203916;1105659;1280200;67
19711;1203631;1105785;1280275;67
19712;1203673;1105701;1280244;67
19713;1203681;1105709;1280250;67
19714;1203703;1105739;1280259;67
19716;1203711;1105769;1280259;67
19830;1312413;1105215;1280630;67
21253;1329294;1105226;1279972;67
21254;1329308;1105212;1279968;67
21257;1329324;1105192;1279959;67
22630;1162616;1105676;1280057;67
22631;1162624;1105677;1280063;67
23511;1161954;1105678;1280151;67
23514;1161971;1105701;1280144;67
23517;1161989;1105716;1280133;67
23519;1162128;1105736;1280110;67
23520;1162659;1105687;1280084;67
23521;1162136;1105725;1280160;67
23522;1162675;1105673;1280125;67
23523;1162144;1105737;1280156;67
23524;1162683;1105679;1280122;67
23527;1162713;1105730;1280094;67
23528;1162110;1105721;1280135;67
23529;1162152;1105647;1280173;67
23530;1162179;1105620;1280192;67
23531;1162187;1105587;1280215;67
23532;1162195;1105621;1280205;67
17739;1202910;1105403;1280378;67
17741;1202928;1105383;1280379;67
17742;1227301;1105271;1280400;67
17745;1227319;1105207;1280379;67
17746;1202936;1105357;1280370;67
17879;1203029;1105456;1280408;67
19983;1312693;1105250;1280419;67
19985;1312715;1105251;1280412;67
19986;4961137;1105255;1280407;67
19987;1312731;1105233;1280404;67
19989;1312740;1105231;1280424;67
19990;1312758;1105206;1280411;67
19991;2842041;1105218;1280399;67
19836;1258010;1105161;1280247;67
19839;1258028;1105153;1280246;67
19841;1258044;1105158;1280305;67
19842;1258052;1105149;1280325;67
19843;1258079;1105175;1280331;67
19844;1258095;1105180;1280330;67
19845;1258087;1105174;1280349;67
19846;1258109;1105184;1280381;67
19847;1258117;1105188;1280357;67
19848;1258125;1105169;1280233;67
19849;1228684;1105582;1280041;67
19850;1228692;1105588;1280043;67
