CODIGOTRAMOBT;X1;Y1;X2;Y2;LONGITUD;ACOMETIDA
218833;473124;1557672;473171;1557703;0;S
218836;473171;1558279;473180;1558325;0;S
218839;473193;1558336;473148;1558305;0;S
218842;473131;1558391;473178;1558395;0;S
218845;473183;1558555;473168;1558578;0;S
218848;473166;1560275;473129;1560284;0;S
218851;473104;1562158;473176;1562200;0;N
218854;473127;1562373;473131;1562421;0;N
218857;473156;1553432;473180;1553408;0;S
218860;473135;1559126;473164;1559157;0;S
218863;473124;1556473;473173;1556434;0;S
218866;473180;1553490;473137;1553476;0;S
218869;473151;1553298;473134;1553253;0;N
218872;473162;1556338;473147;1556355;0;S
218875;473185;1556680;473150;1556698;0;N
218878;473140;1557616;473141;1557654;0;S
218881;473131;1557714;473133;1557693;0;S
218884;473065;1558142;473180;1558173;0;N
218887;473166;1558368;473134;1558371;0;S
218890;473123;1558506;473169;1558524;0;S
218893;473176;1558566;473131;1558557;0;S
218896;473120;1559232;473153;1559233;0;S
218899;473145;1553677;473148;1553655;0;N
218902;473171;1553451;473143;1553483;0;S
218905;473140;1553340;473155;1553397;0;S
218908;473171;1553344;473132;1553322;0;S
218911;473158;1556160;473142;1556146;0;N
218914;473193;1556419;473163;1556421;0;S
218917;473107;1557714;473163;1557722;0;S
218920;473145;1558227;473129;1558195;0;S
218923;473172;1558213;473165;1558181;0;S
218926;473157;1558509;473173;1558512;0;S
218929;473135;1559164;473167;1559197;0;S
218932;473120;1559206;473157;1559221;0;S
218935;473181;1556676;473167;1556685;0;S
218938;473128;1556769;473179;1556786;0;S
218941;473165;1557677;473154;1557627;0;N
218944;473153;1558684;473139;1558753;0;N
218947;473154;1559190;473132;1559181;0;S
218950;473180;1556205;473143;1556243;0;S
218953;473105;1553492;473140;1553519;0;N
218956;473133;1556288;473148;1556264;0;S
218959;473125;1556294;473158;1556274;0;N
218962;473118;1556302;473152;1556331;0;N
218965;473149;1556683;473164;1556699;0;S
218968;473141;1557642;473169;1557632;0;S
218971;473163;1558632;473142;1558634;0;S
218974;473136;1559225;473139;1559256;0;S
218977;473168;1559298;473164;1559268;0;S
218980;473125;1559349;473147;1559378;0;S
218983;473171;1560228;473134;1560224;0;N
218986;473163;1560219;473151;1560252;0;N
218989;473108;1553358;473138;1553390;0;N
218992;473134;1556453;473178;1556424;0;S
218995;473137;1556471;473130;1556482;0;S
218998;473131;1556583;473145;1556622;0;S
219001;473162;1559325;473183;1559281;0;S
219004;473191;1559436;473172;1559389;0;S
219007;473172;1559450;473147;1559402;0;S
219010;473184;1553508;473163;1553516;0;S
219013;473133;1553681;473140;1553683;0;S
219016;473135;1558428;473179;1558437;0;S
219019;473176;1558699;473151;1558657;0;S
219022;473188;1558668;473167;1558678;0;S
219025;473167;1558729;473171;1558759;0;N
219028;473135;1558825;473183;1558829;0;S
219031;473160;1558982;473146;1559013;0;N
219034;473161;1559498;473134;1559555;0;S
219037;473209;1556408;473172;1556417;0;S
219040;473178;1553393;473159;1553376;0;S
219043;473137;1553435;473174;1553438;0;N
219046;473149;1557275;473145;1557251;0;S
219049;473147;1558425;473136;1558411;0;S
219052;473182;1558413;473184;1558433;0;S
219055;473135;1558610;473151;1558612;0;S
219058;473160;1558982;473142;1558985;0;S
219061;473153;1559218;473152;1559224;0;S
219064;473171;1559325;473144;1559278;0;S
219067;473137;1559298;473168;1559316;0;S
219070;473149;1559335;473133;1559334;0;S
219073;473146;1559420;473173;1559410;0;S
219076;473165;1559764;473183;1559809;0;N
219079;473184;1560816;473151;1560808;0;S
219082;473134;1556455;473142;1556462;0;S
219085;473180;1554284;473162;1554312;0;N
219088;473185;1557692;473181;1557641;0;S
219091;473137;1557702;473183;1557709;0;S
219094;473153;1558143;473174;1558170;0;S
219097;473199;1558464;473183;1558498;0;S
219100;473164;1558471;473141;1558484;0;S
219103;473132;1558788;473155;1558826;0;N
219106;473127;1559340;473154;1559343;0;S
219109;473163;1559469;473143;1559483;0;S
219112;473167;1553462;473169;1553452;0;S
219115;473180;1553550;473163;1553549;0;S
219118;473172;1553261;473172;1553237;0;N
219121;473202;1556243;473176;1556243;0;S
219124;473191;1556952;473167;1556954;0;S
219127;473228;1558384;473152;1558400;0;N
219130;473134;1558466;473166;1558452;0;S
219133;473176;1558532;473178;1558534;0;S
219136;473169;1559180;473164;1559184;0;S
219139;473150;1559297;473184;1559304;0;S
219142;473160;1559435;473134;1559374;0;S
219145;473125;1560257;473152;1560230;0;N
219148;473137;1556986;473136;1556991;0;S
219151;473158;1558753;473190;1558737;0;S
219154;473126;1559152;473140;1559178;0;S
